2018-05-22 22:10:26.521 | I | -[AppDelegate applicationWillEnterForeground:] | [line:227] | [MESSAGE] application will enter foreground
2018-05-22 22:10:26.521 | I | -[AppDelegate logMataData] | [line:164] | [MESSAGE] trial ID client100prod_1525443315
2018-05-22 22:10:26.530 | I | -[AppDelegate logMataData] | [line:165] | [MESSAGE] trial name 100prod
2018-05-22 22:10:26.530 | I | -[UIDeviceHardware platformString] | [line:30] | [MESSAGE] apple device internal version code iPhone10,6
2018-05-22 22:10:26.530 | I | -[AppDelegate logMataData] | [line:166] | [MESSAGE] Device Hardware iPhone X
2018-05-22 22:10:26.530 | I | -[AppDelegate logMataData] | [line:167] | [MESSAGE] OS Version 11.3.1
2018-05-22 22:10:26.530 | I | -[AppDelegate logMataData] | [line:168] | [MESSAGE] AiView build version 2018.3
2018-05-22 22:10:26.530 | I | -[AppDelegate logMataData] | [line:169] | [MESSAGE] device language en-US
2018-05-22 22:10:26.532 | I | -[AppDelegate logMataData] | [line:170] | [MESSAGE] device UUID CE41411A-EF46-4F7C-AA85-EE3C7C4C4986
2018-05-22 22:10:26.533 | I | -[AppDelegate logMataData] | [line:173] | [MESSAGE] Patient ID 000000leil
2018-05-22 22:10:26.533 | I | +[AIUtil hasInternetConnection] | [line:683] | [MESSAGE] has internet connnection = 1
2018-05-22 22:10:27.082 | D | -[AiViewSwitch startApp] | [line:156] | [MESSAGE] StartApp in AiViewSwitch
2018-05-22 22:10:27.084 | I | +[AIUtil checkPermission] | [line:1132] | [MESSAGE] camera access / mic access Authorized
2018-05-22 22:10:27.148 | I | -[AiView viewDidLoad] | [line:68] | [MESSAGE] AiView view did load
2018-05-22 22:10:28.281 | I | -[MedProtocolController getNexMedFromUser:dateTime:loadData:context:] | [line:144] | [MESSAGE] currentDoseDone: 0
2018-05-22 22:10:28.281 | I | -[AiView defineProcess:currentTime:context:] | [line:157] | [MESSAGE] allMedsWithinDoseNotFinished 0
2018-05-22 22:10:28.307 | I | -[MedicationConfirmVC viewDidLoad] | [line:45] | [MESSAGE] MedicationConfirmVC view did load
2018-05-22 22:10:28.424 | I | -[AINeuralNetworkConfigManager fileDownloadedWithUrl:succeeded:] | [line:256] | [MESSAGE] Neural network c2018-05-22 22:10:28.424 | 2018-05-22 22:10:28.887 | I | -[FlexibleAudioPlayerController playAudioWithName:] | [line:80] | [MESSAGE] playAudioWithName conclusion_11
2018-05-22 22:10:28.887 | I | -[AudioPlayer playAudioName:] | [line:38] | [MESSAGE] play audio name conclusion_11
2018-05-22 22:10:33.903 | I | -[DigitalClockVC viewDidLoad] | [line:138] | [MESSAGE] DigitalClockVC view did load
2018-05-22 22:10:33.937 | I | -[Transmission sendAll] | [line:80] | [MESSAGE] Transmission send all
2018-05-22 22:10:33.937 | I | -[Transmission sendAll] | [line:115] | [MESSAGE] Encrypting files
2018-05-22 22:10:33.965 | I | -[DigitalClockVC constructNextActionSchedulesAndQuestionnairesIfPossible] | [line:806] | [MESSAGE] constru2018-05-22 22:10:33.965 | I | -[DigitalClockVC co2018-05-22 22:10:33.987 | I | -[DigitalClockVC showScreenBasedOnStatus] | [line:358] | [MESSAGE] show screen based on status
2018-05-22 22:10:33.987 | I | -[DigitalClockVC displayReminderView] | [line:515] | [MESSAGE] displayReminderView
2018-05-22 22:10:33.987 | I | -[DigitalClockVC showDigitalClockNormal] | [line:580] | [MESSAGE] showDigitalClockNormal
2018-05-22 22:10:34.009 | I | -[DigitalClockVC displayReminderView] | [line:515] | [MESSAGE] displayReminderView
2018-05-22 22:10:34.009 | I | -[DigitalClockVC showDigitalClockNormal] | [line:580] | [MESSAGE] showDigitalClockNormal
2018-05-22 22:10:34.016 | I | -[DigitalClockVC startPKVisitQuestionIfNecessary] | [line:721] | [MESSAGE] startPKVisitQuestionIfNecessary
2018-05-22 22:10:34.064 | I | -[DigitalClockVC showScreenBasedOnStatus] | [line:358] | [MESSAGE] show screen based on status
2018-05-22 22:10:34.064 | I | -[DigitalClockVC displayReminderView] | [line:515] | [MESSAGE] displayReminderView
2018-05-22 22:10:34.064 | I | -[DigitalClockVC showDigitalClockNormal] | [line:580] | [MESSAGE] showDigitalClockNormal
2018-05-22 22:10:34.087 | I | -[DigitalClockVC displayReminderView] | [line:515] | [MESSAGE] displayReminderView
2018-05-22 22:10:34.087 | I | -[DigitalClockVC showDigitalClockNormal] | [line:580] | [MESSAGE] showDigitalClockNormal
2018-05-22 22:10:34.093 | I | -[DigitalClockVC startPKVisitQuestionIfNecessary] | [line:721] | [MESSAGE] startPKVisitQuestionIfNecessary
2018-05-22 22:10:34.099 | I | -[Transmission update:task_name:] | [line:246] | [MESSAGE] Task id done: 1
2018-05-22 22:10:34.209 | I | -[Transmission update:task_name:] | [line:246] | [MESSAGE] Task id done: 2
2018-05-22 22:10:34.312 | I | -[Transmission update:task_name:] | [line:246] | [MESSAGE] Task id done: 3
2018-05-22 22:10:34.457 | I | -[Transmission update:task_name:] | [line:246] | [MESSAGE] Task id done: 4
2018-05-22 22:10:34.687 | I | -[Transmission update:task_name:] | [line:246] | [MESSAGE] Task id done: 5
2018-05-22 22:10:34.833 | I | -[Transmission update:task_name:] | [line:246] | [MESSAGE] Task id done: 6
6] | [MESSAGE] Task id done: 5
2018-05-22 22:10:34.833 | I | -[Transmission update:task_name:] | [line:246] | [MESSAGE] Task id done: 6
6] | [MESSAGE] Task id done: 5
2018-05-22 22:10:34.833 | I | -[Transmission update:task_name:] | [line:246] | [MESSAGE] Task id done: 6
