2018-05-22 11:42:07.874 | I | -[AudioPlayer playAudioName:] | [line:38] | [MESSAGE] play audio name C8_9_Device_Position_Error
2018-05-22 11:42:07.928 | I | -[CameraUIView displayError:] | [line:287] | [MESSAGE] show error animation; error type 18
2018-05-22 11:42:10.315 | I | -[PhasesController defineState] | [line:223] | [MESSAGE] PhasesController defineState 2
2018-05-22 11:42:11.442 | I | -[PhasesController defineState] | [line:223] | [MESSAGE] PhasesController defineState 3
2018-05-22 11:42:11.881 | I | -[FlexibleAudioPlayerController playAudioBasedOnErrorState:step:] | [line:68] | [MESSAGE] playAudioBasedOnErrorState C8_9_Device_Position_Error
2018-05-22 11:42:11.881 | I | -[AudioPlayer playAudioName:] | [line:38] | [MESSAGE] play audio name C8_9_Device_Position_Error
2018-05-22 11:42:11.915 | I | -[CameraUIView displayError:] | [line:287] | [MESSAGE] show error animation; error type 18
2018-05-22 11:42:13.969 | I | -[PhasesController defineState] | [line:223] | [MESSAGE] PhasesController defineState 2
2018-05-22 11:42:21.603 | I | -[PhasesController defineState] | [line:223] | [MESSAGE] PhasesController defineState 3
2018-05-22 11:42:22.048 | I | -[FlexibleAudioPlayerController playAudioBasedOnErrorState:step:] | [line:68] | [MESSAGE] playAudioBasedOnErrorState C8_9_Device_Position_Error
2018-05-22 11:42:22.051 | I | -[AudioPlayer playAudioName:] | [line:38] | [MESSAGE] play audio name C8_9_Device_Position_Error
2018-05-22 11:42:22.090 | I | -[CameraUIView displayError:] | [line:287] | [MESSAGE] show error animation; error type 18
2018-05-22 11:42:23.300 | I | -[PhasesController defineState] | [line:223] | [MESSAGE] PhasesController defineState 2
2018-05-22 11:42:25.265 | I | -[PhasesController defineState] | [line:223] | [MESSAGE] PhasesController defineState 3
2018-05-22 11:42:25.705 | I | -[FlexibleAudioPlayerController playAudioBasedOnErrorState:step:] | [line:68] | [MESSAGE] playAudioBasedOnErrorState C8_9_Device_Position_Error
2018-05-22 11:42:25.705 | I | -[AudioPlayer playAudioName:] | [line:38] | [MESSAGE] play audio name C8_9_Device_Position_Error
2018-05-22 11:42:25.737 | I | -[CameraUIView displayError:] | [line:287] | [MESSAGE] show error animation; error type 18
2018-05-22 11:42:29.999 | I | -[AppDelegate applicationWillResignActive:] | [line:201] | [MESSAGE] application Will Resign Active
