2018-05-18 13:08:45.573 | I | -[UIDeviceHardware platformString] | [line:30] | [MESSAGE] apple device internal version code iPhone7,2
2018-05-18 13:08:45.588 | I | -[UIDeviceHardware platformString] | [line:30] | [MESSAGE] apple device internal version code iPhone7,2
2018-05-18 13:08:46.592 | I | -[TermConditionsVC viewDidAppear:] | [line:127] | [MESSAGE] TermConditionsVC viewDidAppear
2018-05-18 13:09:01.825 | I | -[TermConditionsVC agreeButtonPressed:] | [line:178] | [MESSAGE] agreeButtonPressed
2018-05-18 13:09:04.353 | I | -[DownloadTutorialVC viewDidLoad] | [line:52] | [MESSAGE] DownloadTutorialVC viewDidLoad
2018-05-18 13:09:04.384 | I | -[DownloadTutorialVC downloadVideo:destinationUrl:] | [line:112] | [MESSAGE] downloadVideo originalURL = https://client100prod.aicure.com/tutorial_video_tablet/oral_pill/sfdph/en/full_version_face_identification_order_0_numpill_0_total_0.mp4, destinationURL = file:///var/mobile/Containers/Data/Application/787373CF-DF05-4F6C-A025-48AECE7DE692/Documents/en/full_version_face_identification_order_0_numpill_0_total_0.mp4
2018-05-18 13:09:04.414 | I | -[DownloadTutorialVC downloadVideo:destinationUrl:] | [line:112] | [MESSAGE] downloadVideo originalURL = https://client100prod.aicure.com/tutorial_video_tablet/oral_pill/sfdph/en/full_version_pill_identification_order_0_numpill_0_total_0.mp4, destinationURL = file:///var/mobile/Containers/Data/Application/787373CF-DF05-4F6C-A025-48AECE7DE692/Documents/en/full_version_pill_identification_order_0_numpill_0_total_0.mp4
2018-05-18 13:09:04.420 | I | -[DownloadTutorialVC downloadVideo:destinationUrl:] | [line:112] | [MESSAGE] downloadVideo originalURL = https://client100prod.aicure.com/tutorial_video_tablet/oral_pill/sfdph/en/full_version_pill_in_mouth_order_0_numpill_0_total_0.mp4, destinationURL = file:///var/mobile/Containers/Data/Application/787373CF-DF05-4F6C-A025-48AECE7DE692/Documents/en/full_version_pill_in_mouth_order_0_numpill_0_total_0.mp4
2018-05-18 13:09:04.426 | I | -[DownloadTutorialVC downloadVideo:destinationUrl:] | [line:112] | [MESSAGE] downloadVideo originalURL = https://client100prod.aicure.com/tutorial_video_tablet/oral_pill/sfdph/en/full_version_empty_mouth_order_0_numpill_0_total_0.mp4, destinationURL = file:///var/mobile/Containers/Data/Application/787373CF-DF05-4F6C-A025-48AECE7DE692/Documents/en/full_version_empty_mouth_order_0_numpill_0_total_0.mp4
2018-05-18 13:09:04.433 | I | -[DownloadTutorialVC downloadVideo:destinationUrl:] | [line:112] | [MESSAGE] downloadVideo originalURL = https://client100prod.aicure.com/tutorial_video_tablet/oral_pill/sfdph/en/full_version_pill_not_under_the_tongue_order_0_numpill_0_total_0.mp4, destinationURL = file:///var/mobile/Containers/Data/Application/787373CF-DF05-4F6C-A025-48AECE7DE692/Documents/en/full_version_pill_not_under_the_tongue_order_0_numpill_0_total_0.mp4
2018-05-18 13:09:04.437 | I | -[DownloadTutorialVC downloadVideo:destinationUrl:] | [line:112] | [MESSAGE] downloadVideo originalURL = https://client100prod.aicure.com/tutorial_video_tablet/oral_pill/sfdph/en/short_version_face_identification_order_0_numpill_0_total_0.mp4, destinationURL = file:///var/mobile/Containers/Data/Application/787373CF-DF05-4F6C-A025-48AECE7DE692/Documents/en/short_version_face_identification_order_0_numpill_0_total_0.mp4
2018-05-18 13:09:14.636 | I | -[DownloadTutorialVC handleComplete] | [line:221] | [MESSAGE] down lot tutorial handleComplete
2018-05-18 13:09:16.001 | I | -[DownloadTutorialVC handleComplete] | [line:221] | [MESSAGE] down lot tutorial handleComplete
2018-05-18 13:09:17.046 | I | -[DownloadTutorialVC handleComplete] | [line:221] | [MESSAGE] down lot tutorial handleComplete
